id1,id2,filter_failed,reason,total_timestamps,passed_filter,final_pairs,min_speed_diff,max_speed_diff,mean_speed_diff,min_ttc,max_ttc_val,min_lateral_dist,max_lateral_dist
10540916,10540933,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),161,1,,-0.23490619659423828,-0.23490619659423828,-0.23490619659423828,,,,
10541533,10541559,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,390,36,,,,,3.4709115028381348,11.717635154724121,,
10542569,10542612,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,501,54,,,,,3.7138161659240723,13.111827850341797,,
10544912,10544959,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,382,78,,,,,3.853936195373535,7.488314628601074,,
10546902,10547041,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,189,55,,,,,3.141953229904175,4.805970191955566,,
10547030,10547188,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,390,106,,,,,2.979572296142578,14.209845542907715,,
10547370,10547401,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,266,77,,,,,3.845503091812134,21.614168167114258,,
10547401,10547445,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,267,77,,,,,4.031099319458008,24.917083740234375,,
10547979,10548230,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,428,82,,,,,2.0783660411834717,164.53793334960938,,
10547996,10548030,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,519,36,,,,,3.628631830215454,6.218685150146484,,
10548690,10548727,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,346,103,,,,,3.9413905143737793,40.06993103027344,,
10549889,10549918,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,229,125,,,,,4.873847961425781,47.98871612548828,,
10552811,10552842,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,550,42,,,,,3.619624137878418,23.855825424194336,,
10555302,10555334,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,560,97,,,,,4.503744125366211,11.898087501525879,,
10557602,10557621,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,208,1,,,,,20.576784133911133,20.576784133911133,,
10558575,10558698,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),257,37,,-1.546586513519287,0.2008061408996582,-0.0054856762290000916,,,,
10559386,10559424,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,225,26,,,,,2.4571149349212646,36.71283721923828,,
10560128,10560131,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),659,149,,-0.43291473388671875,0.9450615644454956,0.13803140819072723,,,,
10562754,10562780,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,590,71,,,,,3.3747544288635254,19.99339485168457,,
10564315,10564332,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,403,26,,,,,2.857806921005249,4.479766845703125,,
10565526,10565547,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,202,70,,,,,3.459726333618164,13.935758590698242,,
10565821,10565839,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,638,30,,,,,4.153110980987549,12.392271041870117,,
10566333,10566341,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,268,39,,,,,5.048449516296387,14.975881576538086,,
10566354,10566361,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,292,80,,,,,5.5430450439453125,17.261680603027344,,
10566651,10566688,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,547,92,,,,,3.7490334510803223,18.597829818725586,,
10567135,10567167,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,257,79,,,,,4.1512298583984375,11.06325912475586,,
10569029,10569395,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,89,2,,,,,2.7113282680511475,2.8270740509033203,,
10570440,10570454,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,602,39,,,,,3.377967119216919,10.799131393432617,,
10570992,10571290,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,134,1,1.0,,,,,,,
10573114,10573132,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,130,21,,,,,2.687690496444702,11.506284713745117,,
10575002,10575014,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,464,65,,,,,2.886289119720459,15.627359390258789,,
10589205,10589261,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,313,108,,,,,4.098052024841309,19.189369201660156,,
10589261,10589285,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,316,64,,,,,3.389942169189453,37.23737335205078,,
10590311,10590600,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,289,55,,,,,2.4062693119049072,4.547341823577881,,
10597577,10597596,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,408,31,,,,,5.114715099334717,12.830552101135254,,
10597589,10597970,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,247,11,11.0,,,,,,,
10598243,10598325,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,270,36,,,,,2.971947193145752,4.719442367553711,,
10598488,10598515,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,674,50,,,,,5.730764865875244,14.35814380645752,,
10599030,10599310,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,148,17,17.0,,,,,,,
10599576,10599724,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,46,9,9.0,,,,,,,
10601588,10601621,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),550,121,,-4.635333061218262,0.401130735874176,-0.031912289559841156,,,,
10603508,10603612,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,211,49,,,,,2.7835261821746826,272.2390441894531,,
10606328,10606751,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,245,68,,,,,2.8934755325317383,6.263815879821777,,
10607056,10607079,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,193,16,,,,,3.3037588596343994,67.43228149414062,,
10608147,10608151,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),454,80,,-0.019110310822725296,0.048169590532779694,0.01027033943682909,,,,
10611631,10611644,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,301,41,,,,,5.17832612991333,36.582313537597656,,
10614220,10614238,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,610,51,,,,,4.466553211212158,53.258235931396484,,
10614238,10614261,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,599,47,,,,,2.3385562896728516,24.764192581176758,,
